date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28/06/2024,4,9,17,17,18,24,25,27,27,34,42,47,48,51,54,59,65,66,68,73,75,82,83,84,91,92,96
27/06/2024,1,4,7,9,14,16,22,23,26,26,31,42,45,46,55,63,66,67,70,70,81,83,89,92,95,95,99
26/06/2024,3,4,10,10,11,11,12,13,22,23,23,24,27,32,32,61,63,65,66,76,79,80,80,81,83,84,92
25/06/2024,0,0,3,9,16,20,25,28,28,35,36,37,43,45,50,56,68,71,75,76,82,84,92,94,95,97,98
24/06/2024,1,12,20,21,26,29,33,34,34,37,41,44,46,50,50,54,61,62,67,75,75,76,77,79,80,86,95
23/06/2024,1,2,5,8,8,12,16,32,32,33,36,43,49,55,55,57,59,64,65,72,78,79,79,82,94,96,99
22/06/2024,1,3,6,10,11,15,23,23,25,32,36,39,43,49,59,59,59,62,64,65,66,70,71,79,84,87,96
21/06/2024,6,11,13,17,19,22,28,29,35,37,42,42,45,47,51,52,61,72,76,85,89,89,92,95,96,97,99
20/06/2024,2,4,17,19,19,32,33,38,39,40,40,44,45,49,51,55,58,66,68,72,72,76,83,83,90,94,94
19/06/2024,2,7,11,14,23,24,29,32,37,41,42,49,55,56,57,61,66,67,71,77,78,79,89,89,93,93,95
18/06/2024,2,6,10,26,32,40,46,49,52,53,56,61,61,64,66,68,70,74,74,74,84,85,86,90,95,98,99
17/06/2024,2,3,7,9,17,17,22,30,32,34,38,39,42,46,49,52,53,59,64,65,72,88,90,91,96,96,98
16/06/2024,10,13,16,16,20,24,29,32,37,39,41,49,50,54,56,57,66,66,69,69,70,71,81,89,95,96,97
15/06/2024,6,12,13,16,18,21,26,35,45,52,53,59,63,63,64,67,69,69,69,73,77,78,83,85,89,96,98
14/06/2024,1,4,6,8,9,12,16,22,28,33,41,41,43,44,45,45,50,53,59,60,63,77,79,82,87,90,96
13/06/2024,2,2,16,18,21,21,26,33,35,38,43,48,50,60,62,63,75,78,79,81,90,91,92,97,98,98,99
12/06/2024,3,15,25,29,32,37,44,46,49,54,54,55,56,57,59,61,62,64,65,69,70,71,74,75,83,84,98
11/06/2024,0,5,7,9,14,15,21,22,23,31,37,42,44,50,52,53,54,55,60,64,70,73,73,91,93,94,96
10/06/2024,4,6,9,23,24,29,33,37,46,47,50,58,59,61,65,69,74,75,76,80,82,83,84,87,90,92,96
09/06/2024,1,6,18,19,20,22,22,26,32,44,44,53,53,59,65,65,66,66,74,78,78,80,81,84,92,97,98
08/06/2024,4,5,9,10,14,15,15,19,24,29,30,33,36,40,46,49,58,64,66,73,76,79,80,83,87,87,89
07/06/2024,1,3,11,12,19,25,26,32,33,40,42,43,44,47,50,51,57,59,61,61,66,84,85,86,90,93,96
06/06/2024,4,6,7,7,10,10,14,16,16,17,20,23,25,28,39,41,41,47,50,56,59,63,63,66,81,88,90
05/06/2024,6,8,16,20,21,21,29,30,31,32,35,39,44,45,48,53,56,66,66,67,68,78,81,82,89,92,95
04/06/2024,1,4,9,10,15,15,18,18,21,27,29,41,42,46,55,57,57,58,60,62,67,74,78,79,80,82,96
03/06/2024,3,9,10,12,13,14,15,20,24,25,25,33,41,45,48,48,69,76,77,78,79,80,86,88,89,89,98
02/06/2024,0,3,7,8,11,12,13,17,18,27,36,37,38,48,58,66,68,70,72,77,85,90,91,92,94,96,99
01/06/2024,0,1,1,12,13,19,19,29,30,39,40,41,45,49,55,59,59,68,70,70,77,80,80,82,83,86,89
